Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
BATCH_JOB_EXECUTION,InnoDB,10,Dynamic,68,1204,81920,0,16384,0,NULL,"2024-05-26 22:02:13","2024-05-29 15:52:05",NULL,utf8mb4_0900_ai_ci,NULL,,
BATCH_JOB_EXECUTION_CONTEXT,InnoDB,10,Dynamic,68,240,16384,0,0,0,NULL,"2024-05-26 22:02:13","2024-05-29 15:30:22",NULL,utf8mb4_0900_ai_ci,NULL,,
BATCH_JOB_EXECUTION_PARAMS,InnoDB,10,Dynamic,68,240,16384,0,16384,0,NULL,"2024-05-26 22:02:13","2024-05-29 15:05:58",NULL,utf8mb4_0900_ai_ci,NULL,,
BATCH_JOB_EXECUTION_SEQ,InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,"2024-05-26 22:02:13","2024-05-29 15:05:57",NULL,utf8mb4_0900_ai_ci,NULL,,
BATCH_JOB_INSTANCE,InnoDB,10,Dynamic,68,240,16384,0,16384,0,NULL,"2024-05-26 22:02:12","2024-05-29 15:05:58",NULL,utf8mb4_0900_ai_ci,NULL,,
BATCH_JOB_SEQ,InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,"2024-05-26 22:02:14","2024-05-29 15:05:57",NULL,utf8mb4_0900_ai_ci,NULL,,
BATCH_STEP_EXECUTION,InnoDB,10,Dynamic,131,875,114688,0,16384,0,NULL,"2024-05-26 22:02:13","2024-05-29 15:52:05",NULL,utf8mb4_0900_ai_ci,NULL,,
BATCH_STEP_EXECUTION_CONTEXT,InnoDB,10,Dynamic,131,625,81920,0,0,0,NULL,"2024-05-26 22:02:13","2024-05-29 15:52:04",NULL,utf8mb4_0900_ai_ci,NULL,,
BATCH_STEP_EXECUTION_SEQ,InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,"2024-05-26 22:02:13","2024-05-29 15:05:59",NULL,utf8mb4_0900_ai_ci,NULL,,
bad_image,InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,"2024-05-29 15:05:55",NULL,NULL,utf8mb4_0900_ai_ci,NULL,,
product,InnoDB,10,Dynamic,68292,469,32047104,0,2637824,4194304,70538,"2024-05-29 15:05:54","2024-05-29 15:30:21",NULL,utf8mb4_0900_ai_ci,NULL,,
product_image,InnoDB,10,Dynamic,70266,97,6832128,0,1589248,4194304,NULL,"2024-05-29 15:05:55","2024-05-29 15:30:21",NULL,utf8mb4_0900_ai_ci,NULL,,
review,InnoDB,10,Dynamic,138893,480,66682880,0,11091968,7340032,130435,"2024-05-29 15:05:54","2024-05-29 15:52:04",NULL,utf8mb4_0900_ai_ci,NULL,,
review_image,InnoDB,10,Dynamic,3292,124,409600,0,98304,0,NULL,"2024-05-29 15:05:54","2024-05-29 15:52:04",NULL,utf8mb4_0900_ai_ci,NULL,,
user,InnoDB,10,Dynamic,130117,68,8929280,0,3686400,4194304,NULL,"2024-05-29 15:05:55","2024-05-29 15:52:04",NULL,utf8mb4_0900_ai_ci,NULL,,
